is_mt,latitude,longitude
1,40.7312998,-74.01046
0,40.6738373,-73.8178842
0,40.615995,-73.9971653
1,40.7573878,-73.9822554
1,40.7705708,-73.98214
0,40.670658,-73.9579745
0,40.618584,-74.009224
1,40.7552921,-73.9949215
0,40.676895,-73.9359247
0,40.6642522,-73.9220991
1,40.7360047,-73.9936167
0,40.6692499,-73.9394287
0,40.6899534,-73.8259932
0,40.7138042,-73.9613921
1,40.719058,-74.0124422
0,40.5620359,-74.1457633
0,40.6774,-73.994545
1,40.7636578,-73.9734636
1,40.76948,-73.95787
0,40.6772559,-73.9060154
0,40.6394461,-74.0269518
0,40.64059,-73.95429
0,40.752702,-73.7946267
0,40.7217051,-73.9506477
1,40.8126915,-73.9531271
0,40.654076,-73.726234
0,40.66612,-73.82225
0,40.637108,-73.89338
0,40.73225,-73.92452
1,40.7548409,-73.9841185
0,40.6959519,-73.9823908
1,40.7553303,-73.9911785
0,40.6685062,-73.9256052
0,40.6114287,-74.1168345
0,40.6200644,-74.0300598
0,40.6115199,-74.098621
0,40.7085976,-73.7968907
0,40.6959834,-73.9203924
0,40.6722724,-73.8438117
0,40.5842,-74.09472
0,40.6757357,-73.8968533
0,40.6608608,-73.8988191
0,40.7096821,-73.8989037
0,40.7376745,-73.930237
1,40.7317065,-74.0009562
0,40.6866849,-73.8539966
0,40.6760158,-73.893976
0,40.755866,-73.9248074
0,40.6195155,-74.1315417
0,40.578953,-73.98499
0,40.7444709,-73.914636
1,40.751081,-73.9868516
0,40.7571441,-73.8270918
0,40.7101668,-73.7320643
1,40.816662,-73.9389911
0,40.7577576,-73.8628071
1,40.721447,-73.997406
0,40.6911841,-73.8680573
1,40.7624177,-73.9569852
0,40.704144,-73.80305
0,40.6913744,-73.8098815
1,40.7571064,-73.9973001
1,40.717648,-73.98868
0,40.6578502,-73.9164733
0,40.6454575,-74.0063674
0,40.700492,-73.9013267
1,40.7978667,-73.9675809
0,40.7629537,-73.8319573
0,40.642384,-73.92539
0,40.7571844,-73.8339571
1,40.744972,-73.99186
0,40.6760433,-73.8435145
0,40.5888878,-73.9656409
0,40.7643501,-73.8259432
0,40.6786696,-73.8451487
0,40.679214,-73.97856
1,40.7469395,-73.9898515
0,40.6327179,-73.9837621
0,40.6730206,-73.8239933
0,40.7533047,-73.912571
0,40.6094167,-73.9676868
0,40.6550478,-73.9563012
0,40.7599599,-73.8982209
0,40.6186537,-73.9316942
0,40.6558272,-73.9433549
0,40.7066776,-73.7914647
0,40.7343138,-73.9380165
0,40.6082027,-73.9207095
1,40.7616682,-73.9749156
0,40.7397957,-73.7928803
0,40.6903432,-73.7824288
1,40.7152372,-74.0133794
0,40.6517331,-73.930381
1,40.758981,-73.9959428
0,40.603118,-73.9605486
0,40.6774132,-73.9303181
0,40.752766,-73.79132
1,40.7640562,-73.9647563
0,40.6744673,-73.9754675
0,40.6362074,-73.9489851
0,40.6332441,-74.0211163
0,40.6299159,-73.9866737
1,40.7602226,-73.967462
0,40.7616851,-73.7603059
0,40.6455141,-74.0849635
0,40.6635186,-73.9572076
0,40.6899,-73.9803
0,40.6446562,-73.9566323
0,40.6671207,-73.8888895
0,40.6686085,-73.781667
1,40.7547072,-73.9916334
0,40.687076,-73.9235436
0,40.718838,-73.76591
1,40.8051537,-73.9511132
0,40.545354,-74.1780956
0,40.6540801,-73.891607
0,40.5244923,-74.2003665
0,40.661755,-73.73312
1,40.7402615,-73.9905165
0,40.7019089,-73.8928348
0,40.6667171,-73.8916117
0,40.6796356,-73.9495828
0,40.63096,-73.90443
0,40.60223,-74.00665
0,40.7620674,-73.8075282
0,40.6227987,-74.0283499
0,40.6711863,-73.9420297
0,40.5780868,-73.8392622
0,40.758648,-73.82504
0,40.7553983,-73.9318175
1,40.8485182,-73.9359293
0,40.693172,-73.97086
0,40.7535045,-73.9049153
1,40.7578281,-73.9930696
0,40.6556846,-73.8994072
1,40.8384262,-73.9416888
0,40.7118781,-73.7302827
1,40.7634306,-73.9652115
0,40.67361,-73.870224
0,40.6131766,-74.1585964
0,40.6984928,-73.7604934
0,40.7408961,-73.8996069
0,40.6724279,-73.756362
0,40.633232,-74.01192
0,40.6607702,-73.9197423
1,40.7487997,-73.969846
0,40.684812,-73.9917611
0,40.6950223,-73.9888461
0,40.5892481,-73.7874784
0,40.6511499,-73.8900044
0,40.7460347,-73.9344002
0,40.6212451,-74.0136235
0,40.769688,-73.736305
0,40.6760813,-73.9061253
0,40.7019089,-73.8928348
1,40.7184302,-74.0005303
1,40.7749592,-73.9588943
0,40.6381683,-73.9036924
1,40.7963012,-73.9382838
0,40.7061424,-73.831765
0,40.6685062,-73.9256052
0,40.75425,-73.81354
0,40.685493,-74.0015
0,40.711594,-73.80545
1,40.748974,-74.00324
1,40.7595273,-73.999242
1,40.8523387,-73.935716
0,40.7087314,-73.8076209
0,40.7293028,-73.8628476
0,40.6122863,-74.0109708
0,40.63027,-73.93199
1,40.7485121,-73.9887144
0,40.6748762,-74.0008075
1,40.7428535,-73.977207
0,40.6652813,-73.7356112
1,40.7553558,-73.9774157
0,40.747465,-73.8856373
1,40.783844,-73.9799879
1,40.7559235,-73.9748888
0,40.6735164,-73.8758791
1,40.8114422,-73.952102
0,40.6214587,-74.0886287
1,40.7573389,-73.986013
1,40.751194,-73.983315
0,40.6759371,-73.8682281
0,40.757725,-73.86348
0,40.6140288,-73.9848688
1,40.7225499,-74.006299
0,40.6544095,-73.9460663
0,40.6526435,-73.9497689
1,40.7441866,-73.9918693
0,40.7186346,-73.8076717
1,40.7435691,-73.9923205
0,40.7559989,-73.863399
0,40.6959932,-73.983213
1,40.7950523,-73.9331565
0,40.7415207,-73.9045896
1,40.7591654,-73.976743
0,40.7249991,-73.9453345
0,40.7180705,-73.9641349
0,40.7185226,-73.9083093
0,40.6811205,-73.9644216
0,40.5873824,-73.9542141
0,40.7092393,-73.7569308
0,40.7852206,-73.8184895
0,40.7608367,-73.8020486
1,40.7781668,-73.9745338
0,40.6678987,-73.8275178
0,40.7039893,-73.7985458
1,40.77066,-73.98238
0,40.6333862,-73.9755114
1,40.7101767,-74.0011362
0,40.6508996,-73.9476548
1,40.755352,-73.98374
0,40.6537454,-73.9184714
0,40.6776756,-73.7627638
1,40.71728,-73.9954294
1,40.77936,-73.97737
1,40.7272615,-73.9826567
1,40.7567642,-73.9671533
0,40.7527828,-73.8549779
1,40.7446803,-73.9872968
0,40.690359,-73.9897375
1,40.7612344,-73.9638843
